timestamp,coin,price_usd
2025-06-01T09:03:09.364888,bitcoin,104396
2025-06-01T09:03:09.364888,dogecoin,0.189504
2025-06-01T09:03:09.364888,ethereum,2507.91
2025-06-01T09:04:14.535004,bitcoin,104396
2025-06-01T09:04:14.535004,dogecoin,0.189523
2025-06-01T09:04:14.535004,ethereum,2507.9
2025-06-01T17:04:28.404050,bitcoin,104396
2025-06-01T17:04:28.404050,dogecoin,0.189523
2025-06-01T17:04:28.404050,ethereum,2507.9
2025-06-01T17:05:42.143641,bitcoin,104383
2025-06-01T17:05:42.143641,dogecoin,0.189439
2025-06-01T17:05:42.143641,ethereum,2507.01
2025-06-01T17:06:54.792405,bitcoin,104382
2025-06-01T17:06:54.792405,dogecoin,0.189429
2025-06-01T17:06:54.792405,ethereum,2507.11
2025-06-01T17:32:33.243898,bitcoin,104166
2025-06-01T17:32:33.243898,dogecoin,0.188448
2025-06-01T17:32:33.243898,ethereum,2496.65
2025-06-01T17:33:35.106729,bitcoin,104114
2025-06-01T17:33:35.106729,dogecoin,0.188444
2025-06-01T17:33:35.106729,ethereum,2496.6
2025-06-01T17:33:54.521517,bitcoin,104114
2025-06-01T17:33:54.521517,dogecoin,0.188444
2025-06-01T17:33:54.521517,ethereum,2496.6
